name;twitter_name;group;natparty;country;twitter_id
dr hab. Magdalena ADAMOWICZ;Adamowicz_Magda;Group of the European People's Party (Christian Democrats);Independent;Poland;1100499396041625601
Asim ADEMOV;AdemovAsim;Group of the European People's Party (Christian Democrats);Citizens for European Development of Bulgaria;Bulgaria;907625645773086720
Isabella ADINOLFI;Isa_Adinolfi;Non-attached Members;Movimento 5 Stelle;Italy;2195622679
Matteo ADINOLFI;adinolfi_matteo;Identity and Democracy Group;NA;Italy;1124950201523941376
Alex AGIUS SALIBA;alexagiussaliba;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partit Laburista;Malta;91314199
Clara AGUILERA;ClaraAguilera7;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;939966774
Scott AINSLIE;ScottMEPLondon;Group of the Greens/European Free Alliance;Green Party;United Kingdom;1301100498
François ALFONSI;F_Alfonsi;Group of the Greens/European Free Alliance;Régions et Peuples Solidaires;France;60264136
Christian ALLARD;Christia_Allard;Group of the Greens/European Free Alliance;Scottish National Party;United Kingdom;932563111
Andris AMERIKS;AndrisAmeriks;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;"""Saskaņa"" sociāldemokrātiskā partija";Latvia;102979056
Martina ANDERSON;M_AndersonSF;Confederal Group of the European United Left - Nordic Green Left;Sinn Fein;United Kingdom;192877061
Rasmus ANDRESEN;RasmusAndresen;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;16606874
Eric ANDRIEU;EricAndrieuEU;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Parti socialiste;France;415475621
Nikos ANDROULAKIS;androulakisnick;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;PASOK-KINAL;Greece;581103570
Gerolf ANNEMANS;gannemans;Identity and Democracy Group;Vlaams Belang;Belgium;145252665
Andrus ANSIP;Ansip_EU;Renew Europe Group;Eesti Reformierakond;Estonia;2803587655
Attila ARA-KOVÁCS;AraKovacs;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Demokratikus Koalíció;Hungary;2226678240
Maria ARENA;Mariearenaps;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Parti Socialiste;Belgium;143828745
Pascal ARIMONT;pascal_arimont;Group of the European People's Party (Christian Democrats);Christlich Soziale Partei;Belgium;3393988786
Bartosz ARŁUKOWICZ;Arlukowicz;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;101561338
Clotilde ARMAND;clotilde_armand;Renew Europe Group;Uniunea Salvați România;Romania;708168822868418560
Anna-Michelle ASIMAKOPOULOU;AnnaAsimakopoul;Group of the European People's Party (Christian Democrats);Nea Demokratia;Greece;533041104
Manon AUBRY;ManonAubryFr;Confederal Group of the European United Left - Nordic Green Left;La France Insoumise;France;2850651695
Margrete AUKEN;MargreteAuken;Group of the Greens/European Free Alliance;Socialistisk Folkeparti;Denmark;37643162
Petras AUŠTREVIČIUS;petras_petras;Renew Europe Group;Lietuvos Respublikos liberalų sąjūdis;Lithuania;1314652063
Carmen AVRAM;carmenavram;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partidul Social Democrat;Romania;26862888
Malik AZMANI;MalikAzmani;Renew Europe Group;Volkspartij voor Vrijheid en Democratie;Netherlands;389687289
Simona BALDASSARRE;SR_Baldassarre;Identity and Democracy Group;Lega;Italy;1124948208457797632
Marek Paweł BALT;PoselBalt;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sojusz Lewicy Demokratycznej;Poland;1105362661
